VoxCeleb1 ID	VGGFace1 ID	Gender	Nationality	Set
id10832	Miranda_Lambert	f	USA	dev
id10833	Miranda_Richardson	f	UK	dev
id10834	Miriam_Margolyes	f	UK	dev
id10835	Mischa_Barton	f	USA	dev
id10836	Misha_Collins	m	USA	dev
id10837	Missi_Pyle	f	USA	dev
id10838	Mitchel_Musso	m	USA	dev
id10839	Molly_Ringwald	f	USA	dev
id10840	Molly_Shannon	f	USA	dev
id10841	Monica_Raymund	f	USA	dev
id10842	Moon_Bloodgood	f	USA	dev
id10843	Moran_Atias	f	Israel	dev
id10844	Morena_Baccarin	f	Brazil	dev
id10845	Moritz_Bleibtreu	m	Germany	dev
id10846	MyAnna_Buring	f	Sweden	dev
id10847	Mya	f	USA	dev
id10848	Nadia_Bjorlin	f	USA	dev
id10849	Nana_Visitor	f	USA	dev
id10850	Nancy_Cartwright	f	USA	dev
id10851	Naomie_Harris	f	UK	dev
id10852	Naseeruddin_Shah	m	India	dev
id10853	Natalia_Tena	f	UK	dev
id10854	Natalie_Dormer	f	UK	dev
id10855	Natalie_Martinez	f	USA	dev
id10856	Natalie_Portman	f	USA	dev
id10857	Natalie_Zea	f	USA	dev
id10858	Natascha_McElhone	f	UK	dev
id10859	Nate_Parker	m	USA	dev
id10860	Nathalie_Emmanuel	f	UK	dev
id10861	Nathan_Fillion	m	Canada	dev
id10862	Nathaniel_Buzolic	m	Australia	dev
id10863	Naturi_Naughton	f	USA	dev
id10864	Nazanin_Boniadi	f	USA	dev
id10865	NeNe_Leakes	f	USA	dev
id10866	Neal_McDonough	m	USA	dev
id10867	Neil_Gaiman	m	UK	dev
id10868	Neil_deGrasse_Tyson	m	USA	dev
id10869	Nelly	m	USA	dev
id10870	Nelly_Furtado	f	Canada	dev
id10871	Neve_Campbell	f	Canada	dev
id10872	Niall_Horan	m	Ireland	dev
id10873	Nichelle_Nichols	f	USA	dev
id10874	Nick_Kroll	m	USA	dev
id10875	Nick_Thune	m	USA	dev
id10876	Nicki_Minaj	f	Trinidad and Tobago	dev
id10877	Nicola_Peltz	f	USA	dev
id10878	Nicole_Beharie	f	USA	dev
id10879	Nicole_Richie	f	USA	dev
id10880	Nicole_Scherzinger	f	USA	dev
id10881	Nikolaj_Coster-Waldau	m	Denmark	dev
id10882	Nina_Arianda	f	USA	dev
id10883	Nina_Hoss	f	Germany	dev
id10884	Noah_Emmerich	m	USA	dev
id10885	Noel_Clarke	m	UK	dev
id10886	Noel_Fielding	m	UK	dev
id10887	Noomi_Rapace	f	Sweden	dev
id10888	Norman_Reedus	m	USA	dev
id10889	Octavia_Spencer	f	USA	dev
id10890	Odette_Annable	f	USA	dev
id10891	Odeya_Rush	f	USA	dev
id10892	Olga_Kurylenko	f	Russia	dev
id10893	Oliver_Platt	m	Canada	dev
id10894	Olivia_Colman	f	UK	dev
id10895	Olivia_Cooke	f	UK	dev
id10896	Olivia_Holt	f	USA	dev
id10897	Olivia_Munn	f	USA	dev
id10898	Olivia_Thirlby	f	USA	dev
id10899	Olivia_Wilde	f	USA	dev
id10900	Olivia_Williams	f	UK	dev
id10901	Om_Puri	m	India	dev
id10902	Omari_Hardwick	m	USA	dev
id10903	Oona_Chaplin	f	Spain	dev
id10904	Oscar_Isaac	m	USA	dev
id10905	Pablo_Schreiber	m	USA	dev
id10906	Paddy_Considine	m	UK	dev
id10907	Padma_Lakshmi	f	USA	dev
id10908	Paget_Brewster	f	USA	dev
id10909	Paloma_Faith	f	UK	dev
id10910	Pamela_Adlon	f	USA	dev
id10911	Paolo_Sorrentino	m	Italy	dev
id10912	Parineeti_Chopra	f	India	dev
id10913	Pat_Monahan	m	USA	dev
id10914	Patrick_Dempsey	m	USA	dev
id10915	Patrick_Duffy	m	USA	dev
id10916	Patrick_Fugit	m	USA	dev
id10917	Patrick_Swayze	m	USA	dev
id10918	Patrick_Wilson	m	USA	dev
id10919	Patton_Oswalt	m	USA	dev
id10920	Paul_Dano	m	USA	dev
id10921	Paul_Feig	m	USA	dev
id10922	Paul_Giamatti	m	USA	dev
id10923	Paul_Gross	m	Canada	dev
id10924	Paul_McGann	m	UK	dev
id10925	Paul_Reubens	m	USA	dev
id10926	Paul_Scheer	m	USA	dev
id10927	Paul_Sorvino	m	USA	dev
id10928	Paul_Wesley	m	USA	dev
id10929	Penn_Jillette	m	USA	dev
id10930	Pete_Wentz	m	USA	dev
id10931	Peter_Berg	m	USA	dev
id10932	Peter_Capaldi	m	UK	dev
id10933	Peter_Coyote	m	USA	dev
id10934	Peter_Facinelli	m	USA	dev
id10935	Peter_Jackson	m	New Zealand	dev
id10936	Peter_Jacobson	m	USA	dev
id10937	Philip_Glenister	m	UK	dev
id10938	Phyllis_Diller	f	USA	dev
id10939	Pierfrancesco_Favino	m	Italy	dev
id10940	Pierre_Niney	m	Norway	dev
id10941	Pooja_Kumar	f	India	dev
id10942	Poppy_Montgomery	f	Australia	dev
id10943	Preity_Zinta	f	India	dev
id10944	Prince	m	USA	dev
id10945	Quentin_Tarantino	m	USA	dev
id10946	RZA	m	USA	dev
id10947	Rachel_Dratch	f	USA	dev
id10948	Rachel_McAdams	f	Canada	dev
id10949	Rade_Serbedzija	m	Croatia	dev
id10950	Raini_Rodriguez	f	USA	dev
id10951	Rainn_Wilson	m	USA	dev
id10952	Ralf_Little	m	UK	dev
id10953	Ralph_Macchio	m	USA	dev
id10954	Rami_Malek	m	USA	dev
id10955	Ranbir_Kapoor	m	India	dev
id10956	Randeep_Hooda	m	India	dev
id10957	Randolph_Mantooth	m	USA	dev
id10958	Raoul_Bova	m	Italy	dev
id10959	Ray_Winstone	m	UK	dev
id10960	Reba_McEntire	f	USA	dev
id10961	Rebecca_Mader	f	UK	dev
id10962	Rebel_Wilson	f	Australia	dev
id10963	Reece_Ritchie	m	UK	dev
id10964	Reggie_Lee	m	Philippines	dev
id10965	Regina_Hall	f	USA	dev
id10966	Reid_Scott	m	Canada	dev
id10967	Rene_Auberjonois	m	Switzerland	dev
id10968	Retta	f	USA	dev
id10969	Rhys_Darby	m	New Zealand	dev
id10970	Rhys_Ifans	m	UK	dev
id10971	Richard_Ayoade	m	UK	dev
id10972	Richard_Dean_Anderson	m	USA	dev
id10973	Richard_E._Grant	m	UK	dev
id10974	Richard_Hammond	m	UK	dev
id10975	Richard_Kind	m	USA	dev
id10976	Richard_Madden	m	UK	dev
id10977	Ricky_Gervais	m	UK	dev
id10978	Rico_Rodriguez	m	USA	dev
id10979	Rik_Mayall	m	UK	dev
id10980	Riley_Smith	m	USA	dev
id10981	Rita_Ora	f	UK	dev
id10982	Riz_Ahmed	m	UK	dev
id10983	Rob_Brydon	m	UK	dev
id10984	Rob_Corddry	m	USA	dev
id10985	Rob_Dyrdek	m	USA	dev
id10986	Rob_Reiner	m	USA	dev
id10987	Rob_Riggle	m	USA	dev
id10988	Robbie_Amell	m	Canada	dev
id10989	Robbie_Kay	m	UK	dev
id10990	Robert_Carlyle	m	UK	dev
id10991	Robert_Davi	m	USA	dev
id10992	Robert_Pattinson	m	UK	dev
id10993	Robert_Picardo	m	USA	dev
id10994	Robert_Sheehan	m	Ireland	dev
id10995	Robert_Vaughn	m	USA	dev
id10996	Roger_Ebert	m	USA	dev
id10997	Roma_Downey	f	UK	dev
id10998	Romeo_Miller	m	USA	dev
id10999	Ron_Jeremy	m	USA	dev
id11000	Ron_Livingston	m	USA	dev
id11001	Ron_Perlman	m	USA	dev
id11002	Ronda_Rousey	f	USA	dev
id11003	Rooney_Mara	f	USA	dev
id11004	Rory_Kennedy	f	USA	dev
id11005	Rose_McIver	f	New Zealand	dev
id11006	Roshon_Fegan	m	USA	dev
id11007	Rosie_Huntington-Whiteley	f	UK	dev
id11008	Rowan_Atkinson	m	UK	dev
id11009	Ruby_Dee	f	USA	dev
id11010	Rue_McClanahan	f	USA	dev
id11011	Russell_Peters	m	Canada	dev
id11012	Russell_Tovey	m	UK	dev
id11013	Ruta_Lee	f	Canada	dev
id11014	Rutger_Hauer	m	Netherlands	dev
id11015	Ruth_Jones	f	UK	dev
id11016	Ruth_Wilson	f	UK	dev
id11017	Ryan_Kwanten	m	Australia	dev
id11018	Ryan_McPartlin	m	USA	dev
id11019	Ryan_Ochoa	m	USA	dev
id11020	Ryan_Phillippe	m	USA	dev
id11021	Ryan_Potter	m	USA	dev
id11022	S._Epatha_Merkerson	f	USA	dev
id11023	Sally_Hawkins	f	UK	dev
id11024	Sam_Heughan	m	UK	dev
id11025	Sam_Neill	m	New Zealand	dev
id11026	Sam_Palladio	m	UK	dev
id11027	Sam_Raimi	m	USA	dev
id11028	Sam_Riley	m	UK	dev
id11029	Sam_Trammell	m	USA	dev
id11030	Sam_Waterston	m	USA	dev
id11031	Sam_Worthington	m	Australia	dev
id11032	Samantha_Barks	f	UK	dev
id11033	Samira_Wiley	f	USA	dev
id11034	Sammi_Hanratty	f	USA	dev
id11035	Sammy_Davis_Jr.	m	USA	dev
id11036	Samuel_L._Jackson	m	USA	dev
id11037	Sanaa_Lathan	f	USA	dev
id11038	Sandra_Bernhard	f	USA	dev
id11039	Sandra_Oh	f	Canada	dev
id11040	Santiago_Cabrera	m	Chile	dev
id11041	Sara_Gilbert	f	USA	dev
id11042	Sara_Ramirez	f	USA	dev
id11043	Sarah_Bolger	f	Ireland	dev
id11044	Sarah_Drew	f	USA	dev
id11045	Sarah_Gadon	f	Canada	dev
id11046	Sarah_Hyland	f	USA	dev
id11047	Sarah_Palin	f	USA	dev
id11048	Sarah_Paulson	f	USA	dev
id11049	Sarah_Wayne_Callies	f	USA	dev
id11050	Sasha_Pieterse	f	USA	dev
id11051	Scott_Bakula	m	USA	dev
id11052	Scott_Porter	m	USA	dev
id11053	Scott_Speedman	m	Canada	dev
id11054	Sean_Bean	m	UK	dev
id11055	Sean_Connery	m	UK	dev
id11056	Sean_Kanan	m	USA	dev
id11057	Sean_Maher	m	USA	dev
id11058	Sean_Patrick_Flanery	m	USA	dev
id11059	Sean_Pertwee	m	UK	dev
id11060	Seann_William_Scott	m	USA	dev
id11061	Sebastian_De_Souza	m	UK	dev
id11062	Sela_Ward	f	USA	dev
id11063	Selma_Blair	f	USA	dev
id11064	Sendhil_Ramamurthy	m	USA	dev
id11065	Senta_Berger	f	Austria	dev
id11066	Serinda_Swan	f	Canada	dev
id11067	Seth_Green	m	USA	dev
id11068	Seth_MacFarlane	m	USA	dev
id11069	Seth_Meyers	m	USA	dev
id11070	Seth_Rogen	m	Canada	dev
id11071	Shahid_Kapoor	m	India	dev
id11072	Shailene_Woodley	f	USA	dev
id11073	Shane_West	m	USA	dev
id11074	Shannen_Doherty	f	USA	dev
id11075	Sharlto_Copley	m	South Africa	dev
id11076	Sharni_Vinson	f	Australia	dev
id11077	Sharon_Gless	f	USA	dev
id11078	Shay_Mitchell	f	Canada	dev
id11079	Shemar_Moore	m	USA	dev
id11080	Sheridan_Smith	f	UK	dev
id11081	Sherri_Saum	f	USA	dev
id11082	Sherri_Shepherd	f	USA	dev
id11083	Sheryl_Lee_Ralph	f	USA	dev
id11084	Shiloh_Fernandez	m	USA	dev
id11085	Shiri_Appleby	f	USA	dev
id11086	Shirley_Manson	f	UK	dev
id11087	Shohreh_Aghdashloo	f	Iran	dev
id11088	Shonda_Rhimes	f	USA	dev
id11089	Shraddha_Kapoor	f	India	dev
id11090	Sidharth_Malhotra	m	India	dev
id11091	Sidse_Babett_Knudsen	f	Denmark	dev
id11092	Sienna_Guillory	f	UK	dev
id11093	Silas_Weir_Mitchell	m	USA	dev
id11094	Simon_Baker	m	Australia	dev
id11095	Simon_Callow	m	UK	dev
id11096	Simon_Pegg	m	UK	dev
id11097	Skylar_Astin	m	USA	dev
id11098	Smokey_Robinson	m	USA	dev
id11099	Sofia_Coppola	f	USA	dev
id11100	Sonam_Kapoor	f	India	dev
id11101	Sonja_Sohn	f	USA	dev
id11102	Sophie_Okonedo	f	UK	dev
id11103	Spencer_Boldman	m	USA	dev
id11104	Stacy_Keach	m	USA	dev
id11105	Stan_Lee	m	USA	dev
id11106	Stana_Katic	f	USA	dev
id11107	Stanley_Tucci	m	USA	dev
id11108	Stefanie_Powers	f	USA	dev
id11109	Stephen_Baldwin	m	USA	dev
id11110	Stephen_Colbert	m	USA	dev
id11111	Stephen_Fry	m	UK	dev
id11112	Stephen_Lang	m	USA	dev
id11113	Stephen_Mangan	m	UK	dev
id11114	Stephen_Merchant	m	UK	dev
id11115	Sterling_Knight	m	USA	dev
id11116	Steve_Burton	m	USA	dev
id11117	Steve_Carell	m	USA	dev
id11118	Steve_Harvey	m	USA	dev
id11119	Steve_Jobs	m	USA	dev
id11120	Steve_Martin	m	USA	dev
id11121	Steven_Bauer	m	USA	dev
id11122	Steven_Berkoff	m	UK	dev
id11123	Steven_Moffat	m	UK	dev
id11124	Steven_R._McQueen	m	USA	dev
id11125	Steven_Soderbergh	m	USA	dev
id11126	Steven_Yeun	m	USA	dev
id11127	Stevie_Wonder	m	USA	dev
id11128	Sung_Kang	m	USA	dev
id11129	Sunny_Leone	f	Canada	dev
id11130	Suraj_Sharma	m	India	dev
id11131	Susan_Lucci	f	USA	dev
id11132	Susanne_Bier	f	Denmark	dev
id11133	Suzanne_Pleshette	f	USA	dev
id11134	Sydney_Pollack	m	USA	dev
id11135	T.J._Miller	m	USA	dev
id11136	Tabu	f	India	dev
id11137	Tahj_Mowry	m	USA	dev
id11138	Tahmoh_Penikett	m	Canada	dev
id11139	Tamala_Jones	f	USA	dev
id11140	Tamara_Taylor	f	Canada	dev
id11141	Tamara_Tunie	f	USA	dev
id11142	Tamer_Hassan	m	UK	dev
id11143	Tamera_Mowry-Housley	f	USA	dev
id11144	Tamsin_Greig	f	UK	dev
id11145	Tanya_Tate	f	UK	dev
id11146	Taraji_P._Henson	f	USA	dev
id11147	Taryn_Manning	f	USA	dev
id11148	Tatiana_Maslany	f	Canada	dev
id11149	Tatyana_Ali	f	USA	dev
id11150	Tavi_Gevinson	f	USA	dev
id11151	Taylor_Kitsch	m	Canada	dev
id11152	Taylor_Lautner	m	USA	dev
id11153	Taylor_Momsen	f	USA	dev
id11154	Taylor_Swift	f	USA	dev
id11155	Teala_Dunn	f	USA	dev
id11156	Ted_Danson	m	USA	dev
id11157	Terence_Stamp	m	UK	dev
id11158	Teri_Hatcher	f	USA	dev
id11159	Terrence_Howard	m	USA	dev
id11160	Thandie_Newton	f	UK	dev
id11161	Theo_James	m	UK	dev
id11162	Theo_Rossi	m	USA	dev
id11163	Thomas_Dekker	m	USA	dev
id11164	Thomas_Gibson	m	USA	dev
id11165	Thomas_Haden_Church	m	USA	dev
id11166	Thomas_Ian_Nicholas	m	USA	dev
id11167	Thomas_Jane	m	USA	dev
id11168	Thomas_Lennon	m	USA	dev
id11169	Tilda_Swinton	f	UK	dev
id11170	Tim_Burton	m	USA	dev
id11171	Tim_Daly	m	USA	dev
id11172	Tim_Gunn	m	USA	dev
id11173	Tim_Minchin	m	Australia	dev
id11174	Timothy_Spall	m	UK	dev
id11175	Tinsel_Korey	f	Canada	dev
id11176	Titus_Welliver	m	USA	dev
id11177	Toby_Jones	m	UK	dev
id11178	Toby_Stephens	m	UK	dev
id11179	Todd_Lasance	m	Australia	dev
id11180	Tom_Arnold	m	USA	dev
id11181	Tom_Bergeron	m	USA	dev
id11182	Tom_Ford	m	USA	dev
id11183	Tom_Hiddleston	m	UK	dev
id11184	Tom_Hooper	m	UK	dev
id11185	Tom_Kenny	m	USA	dev
id11186	Tom_Mison	m	UK	dev
id11187	Tom_Selleck	m	USA	dev
id11188	Tony_Curran	m	UK	dev
id11189	Tracey_Gold	f	USA	dev
id11190	Tracy_Morgan	m	USA	dev
id11191	Tristan_Wilds	m	USA	dev
id11192	Troye_Sivan	m	Australia	dev
id11193	Tupac_Shakur	m	USA	dev
id11194	Ty_Pennington	m	USA	dev
id11195	Tye_Sheridan	m	USA	dev
id11196	Tyler_Blackburn	m	USA	dev
id11197	Tyler_Hoechlin	m	USA	dev
id11198	Tyler_James_Williams	m	USA	dev
id11199	Usher_Raymond	m	USA	dev
id11200	Uzo_Aduba	f	USA	dev
id11201	Vanessa_Hudgens	f	USA	dev
id11202	Vanessa_Lachey	f	USA	dev
id11203	Vanessa_Marcil	f	USA	dev
id11204	Vanilla_Ice	m	USA	dev
id11205	Veronica_Ferres	f	Germany	dev
id11206	Vicky_McClure	f	UK	dev
id11207	Victoria_Justice	f	USA	dev
id11208	Victoria_Rowell	f	USA	dev
id11209	Vidya_Balan	f	India	dev
id11210	Viggo_Mortensen	m	USA	dev
id11211	Vince_Gilligan	m	USA	dev
id11212	Vincent_Cassel	m	Norway	dev
id11213	Vincent_Martella	m	USA	dev
id11214	Vincent_Pastore	m	USA	dev
id11215	Violante_Placido	f	Italy	dev
id11216	Virginia_Madsen	f	USA	dev
id11217	Walter_Matthau	m	USA	dev
id11218	Walton_Goggins	m	USA	dev
id11219	Wanda_Sykes	f	USA	dev
id11220	Wendell_Pierce	m	USA	dev
id11221	Wendi_McLendon-Covey	f	USA	dev
id11222	Wendy_Williams	f	USA	dev
id11223	Wentworth_Miller	m	USA	dev
id11224	Wes_Bentley	m	USA	dev
id11225	Wesley_Snipes	m	USA	dev
id11226	Whitney_Cummings	f	USA	dev
id11227	Will_Arnett	m	Canada	dev
id11228	Will_Forte	m	USA	dev
id11229	Will_Mellor	m	UK	dev
id11230	Will_Poulter	m	UK	dev
id11231	Will_Yun_Lee	m	USA	dev
id11232	Willem_Dafoe	m	USA	dev
id11233	William_Baldwin	m	USA	dev
id11234	William_Fichtner	m	USA	dev
id11235	William_Levy	m	USA	dev
id11236	Wilson_Cruz	m	USA	dev
id11237	Wim_Wenders	m	Germany	dev
id11238	Witney_Carson	f	USA	dev
id11239	Woody_Harrelson	m	USA	dev
id11240	Xavier_Samuel	m	Australia	dev
id11241	Yeardley_Smith	f	USA	dev
id11242	Yvette_Nicole_Brown	f	USA	dev
id11243	Zac_Efron	m	USA	dev
id11244	Zach_Braff	m	USA	dev
id11245	Zach_Galifianakis	m	USA	dev
id11246	Zachary_Gordon	m	USA	dev
id11247	Zachary_Levi	m	USA	dev
id11248	Zachary_Quinto	m	USA	dev
id11249	Zack_Snyder	m	USA	dev
id11250	Zoe_Saldana	f	USA	dev
id11251	Zulay_Henao	f	USA	dev
